Club Name,Website,Email/Contact,Instagram,Facebook,Meeting Day(s),Meeting Time,Meeting Location,Area,Type,Distance,Pace,Coffee Spot,Members,Route Description,Upcoming (scraper),Vibe Tags,Vibe Description,Notes
Easy Breezy Run Club,instagram.com/easybreezy.runclub,,@easybreezy.runclub,,Wednesday,7:00 AM,"Cafe Byron, Agricola Street",Halifax,Road,~5K,All paces,Cafe Byron (Agricola St),,Relaxed loop around the North End starting and ending at Cafe Byron.,,casual · social · all paces · beginner-friendly · coffee after,Zero pressure morning runs where the coffee after is just as important as the km.,"All paces welcome, relaxed morning runs. Post-run coffee at Cafe Byron."
North End Runners,northendrunners.com,,@northendrunners,facebook.com/northendrunners,Wed + Thu (trail) + Fri (seasonal),"Wed 6PM, Fri 6PM (May–Aug)",Halifax Common (near the oval),Halifax – North End,Road & Trail,6K (Wed),All paces,,,"Urban routes through the North End; trail routes vary weekly (Thu). Fri hill/interval workouts at Armoury, Halifax Common.",,crew culture · urban · trail · inclusive · community-first · no ego,"Halifax's original run crew — diverse, passionate, and proudly not a ""club.""","Founded 2013. Wed: 6K @ 6PM all paces. Thu: #NERtimberwolves trail runs. Fri: #TUF hill/interval workouts May–Aug. Crew, not a club."
Halifax Running Club,halifaxrunningclub.com,,@halifaxrunningclub,facebook.com/profile.php?id=100063744333169,"Tue, Thu, Sat, Sun","Tue 5:30PM, Thu 6PM, Sat 8AM, Sun 8:30AM","Halifax Curling Club, 948 South Bland St",Halifax,Road,Various (5K–15K+),Multiple pace groups,Post-run coffee & bagels (Sunday),,Multiple routes from Halifax Curling Club. Sun long run varies weekly. Tue/Thu track and tempo options.,,structured · multi-pace · organized · training-focused · social Sundays,"A well-organized club with multiple weekly runs, pace groups, and a beloved Sunday bagel social.",Founded 2004. Sunday run includes post-run coffee and bagel social. Multiple pace groups.
Halifax Road Hammers,hfxroadhammers.com,,@hfxroadhammers,facebook.com/hfxroadhammers,Check website,,"Point Pleasant Park, Halifax Common, BLT Trail",Halifax,Road,Various,Performance-focused,,,"Routes vary — Point Pleasant Park, Halifax Common, and BLT Trail used regularly.",,coached · performance · PB-focused · structured · serious,East coast's premier coached running club for runners who want to get faster.,Coaching-focused. Membership from $55/month. Two in-person group sessions per month.
Halifax Trail Runners,halifaxtrailrunnersclub.blogspot.com,,,facebook.com/hfxtrailrunners,Wednesday,6:30 PM,Varies weekly – check website/Facebook,Halifax,Trail,40–60 min,All paces,,,Trail routes across HRM — location posted weekly on Facebook. Occasional weekend longer runs.,,trail · outdoorsy · established · community · weekend adventures,One of Halifax's oldest trail clubs — weekly forest runs and occasional weekend adventures.,Established 2006. 40–60 min weekly trail runs + occasional weekend events. No Instagram — check Facebook for schedule.
HFX Hares,,,@hfx_hares,,Wednesday,6:00 PM,Various HRM locations,Halifax,Trail,Varies,All paces (sweeper always),,,Trail loops across HRM — location rotates weekly. Always a sweeper so no one gets left behind.,,fun · trail · social · laid-back · cookies after · anti-littering,A lighthearted trail crew that ends every run with cookies and one firm rule: no littering.,"Established Dec 2020. Fun, social trail running crew. One rule: no littering! Strava group: HFX Hares."
Queer Run Club HFX,,,@qrchfx,,Saturday,9:15 AM,Under Terra Cafe sign (waterfront),Halifax – Downtown,Road,~5K,Easy/relaxed,Post-run coffee (waterfront),,Easy waterfront run along the Halifax harbourfront boardwalk area.,,2SLGBTQIA+ · welcoming · no pressure · waterfront · drop-in friendly · post-run coffee,"A safe, welcoming space for 2SLGBTQIA+ runners — no sign-up, no stress, just good vibes.","2SLGBTQIA+ welcoming. No sign-ups or pressure. Post-run coffee. Easy, social runs by the water."
Halifax Road Runners,,,,facebook.com/groups/1025332235969547,Check Facebook,,Halifax,Halifax,Road,,,,,,,community · road · Facebook group,A community road running group organized via Facebook.,Community road running Facebook group. No Instagram found.
Halifax Velocity Runners,,Normand.deon@gmail.com,,,Check contact,,Halifax,Halifax,Road,,Speed/competitive,,,,,competitive · speed · track,Speed and performance-focused club — contact for details.,Contact Normand d'Eon for details.
R Studios Run Club,,,,,Check R Studios,,Halifax,Halifax,Road,,,,,,,free · gym-linked · community,"Free runs for everyone, organized by R Studios fitness community.",Free for members and non-members. Organized by R Studios.
