date,site_time,master_time,site_title,master_title,similarity
2026-02-27,20:00,20:00,Light &amp; Shade – FREE Show &#8211; Feb 27,Light & Shade – FREE Show,0.86
2026-02-27,00:00,,Edward Albee&#8217;s Who&#8217;s Afraid of Virginia Woolf? &#8211; Feb 27 &#8211; Mar 15,Edward Albee's Who's Afraid of Virginia Woolf?,0.86
2026-02-27,22:00,10:00 PM,TRAFFIC LIGHT PARTY &#8211; Feb 27,TRAFFIC LIGHT PARTY,0.84
2026-02-26,20:30,8:30 PM,Mike Trask Band &#8211; Feb 26,Mike Trask Band,0.81
2026-03-01,20:00,8:00 PM,The Legendary Blues Jam &#8211; Mar 01,The Legendary Blues Jam,0.87
2026-03-05,18:30,6:30 PM,DJ Ahmet — Carbon Arc &#8211; Mar 05-14,DJ Ahmet — Carbon Arc,0.81
2026-03-05,20:00,8:00 pm,Braden Lam &amp; School House &#8211; Mar 05,Braden Lam & School House,0.87
2026-03-05,20:30,8:30 PM,Morgan Davis Trio &#8211; Mar 05,Morgan Davis Trio,0.83
2026-02-28,19:00,07:00 PM,SBSS  POP UP &#8211; DISC 4: ROOTS,Sunset Beats Pop-Up - Disc 4: Roots,0.80
2026-02-28,22:00,22:00,DJ WILL.C – FREE Show &#8211; Feb 28,DJ WILL.C – FREE Show,0.84
2026-02-28,22:00,10:00 pm,ALL NIGHT LONG: CENTURYSAMUEL &#8211; Feb 28,ALL NIGHT LONG: CENTURYSAMUEL,0.89
2026-03-02,19:00,7:00 PM,HALI MERENGAY &#8211; QUEER LATIN DANCE &#8211; Mar 02,HALI MERENGAY - QUEER LATIN DANCE,0.90
2026-03-04,10:00,10:00,Welcome Wednesdays &#8211; Mar 04,Welcome Wednesdays,0.84
2026-03-04,22:00,10:00 PM,Karaoke with Mimi! &#8211; Mar 04,Karaoke with Mimi!,0.83
2026-03-12,20:30,8:30 PM,Rabbit Town String Band &#8211; Mar 12,Rabbit Town String Band,0.87
2026-03-16,19:00,7:00 PM,Monday Night Trivia &#8211; Mar 16,Monday Night Trivia,0.84
2026-03-19,20:30,8:30 PM,The MacMillan&#8217;s Camp Boys &#8211; Mar 19,The MacMillan's Camp Boys,0.87
2026-03-23,19:00,7:00 PM,Monday Night Trivia &#8211; Mar 23,Monday Night Trivia,0.84
2026-03-23,19:30,7:30 PM,&#x1f495; Mini Dates | ~ 45-60 &#8211; Mar 23,💕 Mini Dates | ~ 45-60,0.81
2026-03-30,19:00,7:00 PM,Monday Night Trivia &#8211; Mar 30,Monday Night Trivia,0.84
2026-04-01,18:00,6:00 PM,&#x1f4d6; Silent Reading &#8211; Apr 01,📖 Silent Reading,0.80
2026-03-06,20:00,8:00 pm,Hedwig and the Angry Inch &#8211; Mar 06,Hedwig and the Angry Inch,0.88
2026-03-06,22:00,10:00 pm,One Night In Ghana &#8211; Mar 06,One Night In Ghana,0.84
2026-03-06,17:30,5:30 PM,Big Easy Fridays &#8211; Sounds of New Orleans with Mike Cowie &amp; John Alphonse,Big Easy Fridays with Mike Cowie & John Alphonse,0.81
2026-03-07,18:00,6:00 PM,Aisha&#8217;s Story — Carbon Arc &#8211; Mar 07,Aisha's Story — Carbon Arc,0.87
2026-03-07,20:00,8:00 pm,Hedwig and the Angry Inch &#8211; Mar 07,Hedwig and the Angry Inch,0.88
2026-03-07,21:30,9:30 PM,The Wicked Deadlys &#8211; Mar 07,The Wicked Deadlys,0.84
2026-03-08,17:30,5:30 PM,"Montréal, ma belle — Carbon Arc &#8211; Mar 08","Montréal, ma belle — Carbon Arc",0.89
2026-03-08,15:00,03:00 PM,Queer Improv Drop-In (March 8) &#8211; Mar 08,Queer Improv Drop-In (March 8),0.89
2026-03-08,20:00,8:00 PM,The Legendary Blues Jam &#8211; Mar 08,The Legendary Blues Jam,0.87
2026-03-13,18:30,6:30 PM,Yunan — Carbon Arc &#8211; Mar 13,Yunan — Carbon Arc,0.82
